Index,left,Localizers,"zai 'at, in'",right,verb,Verb class,Newness_Theme,Newness_Location,definiteiniteness_Theme,Heaviness,Heaviness_differences,Animacy_Theme,Animacy_Location,Animacy_Location_minorClass,Animacy_Theme_minorClass,Construction_trichotomy,Construction,备注: 住(驻扎，驻)有关的词都从posture变成existence
14,"1997 时 , 他 曾以史 上 最 高票 的 记录 , 被 选为 美国 心理学 协会 的 主席 。 </s><s> 【 文件名 : \ 当代 \ CWAC \ APE0086. txt 文章 标题 : 作者 : 】 4573 : ...社 , 1995 ) . </s><s> 他 最 新 的 著作 乃 是 个人 优点 和 美德 : 一 本 手册 和 解释 , 由 Christopher Peterson ( 2004年 牛津 大学 毕业生 ) 协助 撰写 。 </s><s> 他 的 著作 已经 被 翻译 成 超过 20 种 语言 , 无论是 美国 或是 国外 都 [ 在 ] 热卖 。 </s><s> 他 的 研究 , 曾经 [",,在,"] 许多 媒体 被 报导 过 , 其中 包括 纽约 时报 , 时代 杂志 , 每 周 新闻 , 美国 新闻 以及 世界 报告 等 , 读者 文摘 , 红 本子 , 双亲 杂志 , 财富 杂志 , 家庭 圈子 , 美国 今日报 , 以及 其他 许多 著名 的 媒体 杂志 。 </s><s> 他 也 多 次 [ 在 ] 电视 以及 电台 上 , 担任 积极 心理学 领域 里 研究 和 报告 的 发言人 。 </s><s> 他 的 文章 内容 所 提到 的 领域 有 教育 , 暴力 , 幸福 , 以及 治疗 。 </s><s> 他 也 曾经 旅游 世界 , 为",(被）报导,verbs of activity(passive),given,new,definite,Location=Theme,1,inanimate,inanimate,organization,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
216,"政府 与 工人 组织 之间 的 中介 。 </s><s> 第二 , 考察 茶馆 [ 在 ] 人们 交往 和 社区 或 邻里 生活 中 所 扮演 的 角色 , 考察 不同 的 社会 集团 、 行业 、 性别 怎样 利用 茶馆 达到 各自 的 目的 。 </s><s> 各 种 社会 集团 利用 茶馆 从事 经济 、 社会 、 文化 活动 。 </s><s> 他们 以 茶馆 为 市场 , [ 在 ] 那里 做 大小 交易 ; 以 茶馆 为 舞台 , 提供 和 得到 娱乐 。 </s><s> 第三 , 通过 分析 茶馆 里 的 冲突 、 控制 、 权力 斗争 , 揭示 政治 [",,在,"] 茶馆 中 是 怎样 被 展现 出来 的 。 </s><s> 政治 的 变化 总 是 清楚 地 反映 [ 在 ] 茶馆 中 , 茶馆 成为 一 个 政治 舞台 , 成为 国家 和 地方 政治 演变 的 一 个 风向标 。 </s><s> 政府 以 维持 公共 秩序 为 理由 , 颁布 了 许多 控制 茶馆 的 规章 。 </s><s> 抗战 以及 随后 的 内战 时期 , 国家 和 各 种 社会 力量 利用 茶馆 为 其 政治 目的 服务 , 更 是 达到 了 前所未有 的 程度 。 </s><s> 诸多 政治 的 新 因素 都 影响 到 茶馆 里 的 日常 生活",(被）展现,verbs of activity(passive),new,given,indefinite,Location>Theme,2,inanimate,inanimate,place,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
74,包装物是指企业在生产经营活动中为包装本企业产品（或商品、下同）而储备的各种包装容器。下列 各 项 [,,在, ] 会 计上 不 作为 包装物 进行 核算 : 各 种 包装 材料 ; 用于 储存 和 保管 产品 、 材料 而 不 对 外 出售 的 包装物 ; 计划 上 单独 列作 企业 产品 的 自制 包装物 。 【 文件名 : \ 当代 \ CWAC \ CAM 0131 . txt,（进行）核算,verbs of activity(passive),new,new,definite,Location=Theme,,inanimate,inanimate,nonconcrete,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
725,"<s> txt 文章 标题 : 作者 : 】 26797 : .商会外有高大门楼，拾级而上，门洞两侧左有传达处，右为会客室，紧挨大门口是露着灯光的汽车房。商会毗邻 大多 是 居民 和 小商 店铺 , 二十 米 外 驻有 一部分 警察 , 丈高 的 大门 顶 [[[",上,安,"着 ] ] ] 个 乳白色 球形 的 灯泡 , 上 写 三 个 红字 "" 派出所 "" 。 </s>",安,verbs of attachment,new,given,indefinite,Location<Theme,-2,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
329,"<s> txt 文章 标题 : 作者 : 】 206 98 : 兵库县 神户市 的 六 甲 岛 , 有 100 家 示范 住宅 的 屋顶 [[[",上,安装,"了 ] ] ] 太阳能 电池 , 当地 政府 和 有关 方面 正在 研究 如何 使 普通 家庭 利用 太阳能 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1993年 人民 日报 \ 3月份 . </s>",安装,verbs of attachment,new,new,indefinite,Location>Theme,5,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
330,<s> 【 文件名 : \ 当代 \ 报刊 \ 作家 文摘 \ 1994 \ 1994B.TXT 文章 标题 : 老舍 一生 的 重大 抉择 作者 : 】 56945 : 记者手里的摄影灯，直到１９７４年春天，通过江青推荐，才在毛泽东 会见 外宾 的 书房 [ [ [,里,安装,了 ] ] ] 固定 摄影 灯 。 </s>,安装,verbs of attachment,new,new,indefinite,Location>Theme,6,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
500,<s> TXT 文章 标题 : 作者 : 】 4987 : 如果 家 [[[,里,安装,"了 ] ] ] 录音 电话 , 即使 外出 , 也 不要紧 , 录音 电话 会 将 外面 打来 电话 的 内容 ... 【 文件名 : \ 当代 \ 应用文 \ 自然 科学 \ 中国 儿童 百科全书 . </s>",安装,verbs of attachment,new,new,indefinite,Location<Theme,-2,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
585,"<s> 开车了，司机啪啪摁几下键，４９００吨的超长大列便平稳启动了，并很快加速。想当年我们撅着屁股汗流浃背地烧火涨汽，得猛干一气才行呢！落雪了，副司机拧大热风机，顿觉暖意融融，雪花还未落在玻璃上就化了。司机 还 告诉 我 , 现在 车 [ [ [",上,安装,"了 ] ] ] "" 黑匣子 "" , 引进 了 先进 的 四 显示 信号 , 安全 系数 比 原先 不 知 大 了 多少 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1995年 人民 日报 \ 5月份 . </s>",安装,verbs of attachment,new,given,indefinite,Location=Theme,-1,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
94,"( 3 ) 如果 点 E [ 在 ] 棱 AD 或 棱AA , 上 运动 时 , 截面 S何 形状 ? </s><s> 【 文件名 : \ 当代 \ CWAC \ AET0017.txt 文章 标题 : 作者 : 】 1170 : 从 图 4.3 中 可以 清楚 地 看到 , 当 截面 中线 段 EF&gt; 0 的 时候 , 截面 EFBXDX 是 一 个 梯形 , 而 当 线段 EF=0 时 , 截面 ? </s><s> FBiDi 就 成为 一 个 三角形 。 </s><s> [ 在 ] 图 4.1 中 按下 "" 变化 "" 按钮 后 , 截面 发生 了 连续 变化 , 只要 [",,在,"] 屏幕 的 任意 位置 按 一下 鼠标 , 截面 就 会 [ 在 ] 最新 变化 的 位置 上 停住 , 如 图 4.3 中 的 ( a ) 、 ( b ) 、 ( c ) 和 ( d ) 。 </s><s> 【 文件名 : \ 当代 \ CWAC \ AET0017.txt 文章 标题 : 作者 : 】 1171 : 图 4.6 是 点击 显示 中线 以后 出现 的 界面 。 </s><s> [ 在 ] 原来 的 三角形 上 已经 增加 了 三 条 中线 , 新 出现 的 黑色 文字框 中 显示 对 "" "" 中线 "" 的 解释 ,",按,verbs of activity,new,new,indefinite,Location>Theme,6,inanimate,inanimate,concrete,concrete,uninversted sentence (PreLocPs),uninverted sentence,
230,"资本主义社会由于缺乏一种来自空洞信仰和干枯宗教的文化，便反过来把要求'解放'的文化大众的生活方式当做自己的规范，然而，这种文化对所有实际经验都无法给予确定的道德或文化指导。""（《资本主义文化矛盾》第195-196页）连布热津斯基也看到，""美国显然需要花一段时间，在哲学上进行反省和文化上作自我批判。在这一时期内必须认真地认识到：以相对主义的享乐至上作为生活的基本指南，是构不成任何坚实社会支柱的；一个社会没有共同遵守的绝对确定的原则，相反却助长个人的自我满足，那么，这个社会就有解体的危险。""（《失去控制：21世纪前夕的全球混乱》，第125页，中国社会科学出版社1995年7月版）然而事实表明，以自我为中心去涤荡形而上学的信仰，其结果必定使个人丧失精神家园，成为一个无家可归的文化漂泊者。当代这种全球性的精神危机，在资本主义条件下是找不到出路的。我们在建立社会主义市场经济的过程中，遇到了同样的挑战。个人主义、拜金主义和享乐主义的日益泛滥，向我们敲响了建设精神家园的警钟。 应当 说 , 社会主义 制度 使得 我们 [ 在 ] 这 方面 具有 优势 。 我们 的 制度 决定 了 我们 不 把 个人 利益 和 个人 意志 摆 [",,在," ] 压倒 一切 的 中心 地位 上 , 而 是 以 人民 的 利益 和 广大 群众 的 意志 为 转移 。 因此 , 社会主义 的 最高 价值 是 为 人民 服务 , 并 因而 奠立 了 理想 、 情操 和 精神 生活 的 基础 。 社会主义 并 不 简单 地",摆,verbs of placement,new,new,definite,Location>Theme,2,inanimate,inanimate,nonconcrete,nonconcrete,uninversted sentence (PostLocPs),uninverted sentence,
